energy_eV,atomic_number,element,line,relative_intensity,col4_norm
6752.8,71,Lu,Ll,4,0.036036
1581.3,71,Lu,Ma1,100,1
1253.6,12,Mg,"Ka1,2",150,0.993377
5898.8,25,Mn,Ka1,100,0.662252
5887.6,25,Mn,Ka2,50,0.331126
6490.4,25,Mn,"Kb1,3",17,0.112583
637.4,25,Mn,"La1,2",111,1
648.8,25,Mn,Lb1,77,0.693694
556.3,25,Mn,Ll,15,0.135135
17479.3,42,Mo,Ka1,100,0.662252
17374.3,42,Mo,Ka2,52,0.344371
19608.3,42,Mo,Kb1,15,0.099338
19965.2,42,Mo,Kb2,3,0.019868
19590.3,42,Mo,Kb3,8,0.05298
2293.2,42,Mo,La1,100,0.900901
2289.8,42,Mo,La2,11,0.099099
2394.8,42,Mo,Lb1,53,0.477477
2518.3,42,Mo,"Lb2,15",5,0.045045
2623.5,42,Mo,Lg1,3,0.027027
2015.7,42,Mo,Ll,5,0.045045
392.4,7,N,"Ka1,2",150,0.993377
1041,11,Na,"Ka1,2",150,0.993377
16615.1,41,Nb,Ka1,100,0.662252
16521,41,Nb,Ka2,52,0.344371
18622.5,41,Nb,Kb1,15,0.099338
18953,41,Nb,Kb2,3,0.019868
18606.3,41,Nb,Kb3,8,0.05298
2165.9,41,Nb,La1,100,0.900901
2163,41,Nb,La2,11,0.099099
2257.4,41,Nb,Lb1,52,0.468468
2367,41,Nb,"Lb2,15",3,0.027027
2461.8,41,Nb,Lg1,2,0.018018
1902.2,41,Nb,Ll,5,0.045045
37361,60,Nd,Ka1,100,0.662252
36847.4,60,Nd,Ka2,55,0.364238
42271.3,60,Nd,Kb1,19,0.125828
43335,60,Nd,Kb2,6,0.039735
42166.5,60,Nd,Kb3,10,0.066225
5230.4,60,Nd,La1,100,0.900901
5207.7,60,Nd,La2,11,0.099099
5721.6,60,Nd,Lb1,60,0.540541
6089.4,60,Nd,"Lb2,15",21,0.189189
6602.1,60,Nd,Lg1,10,0.09009
4633,60,Nd,Ll,4,0.036036
978,60,Nd,Ma1,100,1
848.6,10,Ne,"Ka1,2",150,0.993377
7478.2,28,Ni,Ka1,100,0.662252
7460.9,28,Ni,Ka2,51,0.337748
8264.7,28,Ni,"Kb1,3",17,0.112583
851.5,28,Ni,"La1,2",12,0.108108
868.8,28,Ni,Lb1,68,0.612613
742.7,28,Ni,Ll,9,0.081081
524.9,8,O,"Ka1,2",12,0.07947
63000.5,76,Os,Ka1,100,0.662252
61486.7,76,Os,Ka2,58,0.384106
71413,76,Os,Kb1,23,0.152318
73363,76,Os,Kb2,8,0.05298
71077,76,Os,Kb3,12,0.07947
8911.7,76,Os,La1,100,0.900901
8841,76,Os,La2,11,0.099099
10355.3,76,Os,Lb1,67,0.603604
10598.5,76,Os,Lb2,22,0.198198
12095.3,76,Os,Lg1,13,0.117117
7822.2,76,Os,Ll,5,0.045045
1910.2,76,Os,Ma1,100,1
2013.7,15,P,Ka1,100,0.662252
2012.7,15,P,Ka2,50,0.331126
2139.1,15,P,Kb1,3,0.019868
74969.4,82,Pb,Ka1,100,0.662252
72804.2,82,Pb,Ka2,60,0.397351
84936,82,Pb,Kb1,23,0.152318
87320,82,Pb,Kb2,8,0.05298
84450,82,Pb,Kb3,12,0.07947
10551.5,82,Pb,La1,100,0.900901
10449.5,82,Pb,La2,11,0.099099
12613.7,82,Pb,Lb1,66,0.594595
12622.6,82,Pb,Lb2,25,0.225225
14764.4,82,Pb,Lg1,14,0.126126
9184.5,82,Pb,Ll,6,0.054054
2345.5,82,Pb,Ma1,100,1
21177.1,46,Pd,Ka1,100,0.662252
21020.1,46,Pd,Ka2,53,0.350993
23818.7,46,Pd,Kb1,16,0.10596
24299.1,46,Pd,Kb2,4,0.02649
23791.1,46,Pd,Kb3,8,0.05298
2838.6,46,Pd,La1,100,0.900901
2833.3,46,Pd,La2,11,0.099099
2990.2,46,Pd,Lb1,53,0.477477
3171.8,46,Pd,"Lb2,15",12,0.108108
3328.7,46,Pd,Lg1,6,0.054054
2503.4,46,Pd,Ll,4,0.036036
38724.7,61,Pm,Ka1,100,0.662252
38171.2,61,Pm,Ka2,55,0.364238
43826,61,Pm,Kb1,19,0.125828
44942,61,Pm,Kb2,6,0.039735
43713,61,Pm,Kb3,10,0.066225
5432,61,Pm,La1,100,0.900901
5408,61,Pm,La2,11,0.099099
5961,61,Pm,Lb1,61,0.54955
6339,61,Pm,Lb2,21,0.189189
6892,61,Pm,Lg1,10,0.09009
4809,61,Pm,Ll,4,0.036036
36026.3,59,Pr,Ka1,100,0.662252
35550.2,59,Pr,Ka2,55,0.364238
40748.2,59,Pr,Kb1,19,0.125828
41773,59,Pr,Kb2,6,0.039735
40652.9,59,Pr,Kb3,10,0.066225
5033.7,59,Pr,La1,100,0.900901
5013.5,59,Pr,La2,11,0.099099
5488.9,59,Pr,Lb1,61,0.54955
5850,59,Pr,"Lb2,15",21,0.189189
6322.1,59,Pr,Lg1,9,0.081081
4453.2,59,Pr,Ll,4,0.036036
929.2,59,Pr,Ma1,100,1
66832,78,Pt,Ka1,100,0.662252
65112,78,Pt,Ka2,58,0.384106
75748,78,Pt,Kb1,23,0.152318
77850,78,Pt,Kb2,8,0.05298
75368,78,Pt,Kb3,12,0.07947
9442.3,78,Pt,La1,100,0.900901
9361.8,78,Pt,La2,11,0.099099
11070.7,78,Pt,Lb1,67,0.603604
11250.5,78,Pt,Lb1,2,0.018018
12942,78,Pt,Lg1,13,0.117117
8268,78,Pt,Ll,5,0.045045
2050.5,78,Pt,Ma1,100,1
13395.3,37,Rb,Ka1,100,0.662252
13335.8,37,Rb,Ka2,52,0.344371
14961.3,37,Rb,Kb1,14,0.092715
15185,37,Rb,Kb2,2,0.013245
14951.7,37,Rb,Kb3,7,0.046358
1694.1,37,Rb,La1,100,0.900901
1692.6,37,Rb,La2,11,0.099099
1752.2,37,Rb,Lb1,58,0.522523
1482.4,37,Rb,Ll,5,0.045045
61140.3,75,Re,Ka1,100,0.662252
59717.9,75,Re,Ka2,58,0.384106
69310,75,Re,Kb1,22,0.145695
71232,75,Re,Kb2,8,0.05298
68994,75,Re,Kb3,12,0.07947
8652.5,75,Re,La1,100,0.900901
8586.2,75,Re,La2,11,0.099099
10010,75,Re,Lb1,66,0.594595
10275.2,75,Re,Lb2,22,0.198198
11685.4,75,Re,Lg1,13,0.117117
7603.6,75,Re,Ll,5,0.045045
1842.5,75,Re,Ma1,100,1
20216.1,45,Rh,Ka1,100,0.662252
20073.7,45,Rh,Ka2,53,0.350993
22723.6,45,Rh,Kb1,16,0.10596
23172.8,45,Rh,Kb2,4,0.02649
22698.9,45,Rh,Kb3,8,0.05298
2696.7,45,Rh,La1,100,0.900901
2692,45,Rh,La2,11,0.099099
2834.4,45,Rh,Lb1,52,0.468468
3001.3,45,Rh,"Lb2,15",10,0.09009
3143.8,45,Rh,Lg1,5,0.045045
2376.5,45,Rh,Ll,4,0.036036
19279.2,44,Ru,Ka1,100,0.662252
19150.4,44,Ru,Ka2,53,0.350993
21656.8,44,Ru,Kb1,16,0.10596
22074,44,Ru,Kb2,4,0.02649
21634.6,44,Ru,Kb3,8,0.05298
2558.6,44,Ru,La1,100,0.900901
2554.3,44,Ru,La2,11,0.099099
2683.2,44,Ru,Lb1,54,0.486486
2836,44,Ru,"Lb2,15",10,0.09009
2964.5,44,Ru,Lg1,4,0.036036
2252.8,44,Ru,Ll,4,0.036036
2307.8,16,S,Ka1,100,0.662252
2306.6,16,S,Ka2,50,0.331126
2464,16,S,Kb1,5,0.033113
26359.1,51,Sb,"Ka1,2",1,0.006623
26110.8,51,Sb,Ka2,54,0.357616
29725.6,51,Sb,Kb1,18,0.119205
30389.5,51,Sb,Kb2,5,0.033113
29679.2,51,Sb,Kb3,9,0.059603
3604.7,51,Sb,La1,100,0.900901
3595.3,51,Sb,La2,11,0.099099
3843.6,51,Sb,Lb1,61,0.54955
4100.8,51,Sb,"Lb2,15",17,0.153153
4347.8,51,Sb,Lg1,8,0.072072
3188.6,51,Sb,Ll,4,0.036036
4090.6,21,Sc,Ka1,100,0.662252
4086.1,21,Sc,Ka2,50,0.331126
4460.5,21,Sc,"Kb1,3",15,0.099338
395.4,21,Sc,"La1,2",111,1
399.6,21,Sc,Lb1,77,0.693694
348.3,21,Sc,Ll,21,0.189189
11222.4,34,Se,Ka1,100,0.662252
11181.4,34,Se,Ka2,52,0.344371
12495.9,34,Se,Kb1,13,0.086093
12652,34,Se,Kb2,1,0.006623
12489.6,34,Se,Kb3,6,0.039735
1379.1,34,Se,"La1,2",111,1
1419.2,34,Se,Lb1,59,0.531532
1204.4,34,Se,Ll,6,0.054054
1740,14,Si,"Ka1,2",1,0.006623
1739.4,14,Si,Ka2,50,0.331126
1835.9,14,Si,Kb1,2,0.013245
40118.1,62,Sm,Ka1,100,0.662252
39522.4,62,Sm,Ka2,55,0.364238
45413,62,Sm,Kb1,19,0.125828
46578,62,Sm,Kb2,6,0.039735
45289,62,Sm,Kb3,10,0.066225
5636.1,62,Sm,La1,100,0.900901
5609,62,Sm,La2,11,0.099099
6205.1,62,Sm,Lb1,61,0.54955
6587,62,Sm,"Lb2,15",21,0.189189
7178,62,Sm,Lg1,10,0.09009
4994.5,62,Sm,Ll,4,0.036036
1081,62,Sm,Ma1,100,1
25271.3,50,Sn,Ka1,100,0.662252
25044,50,Sn,Ka2,53,0.350993
28486,50,Sn,Kb1,17,0.112583
29109.3,50,Sn,Kb2,5,0.033113
28444,50,Sn,Kb3,9,0.059603
3444,50,Sn,La1,100,0.900901
3435.4,50,Sn,La2,11,0.099099
3662.8,50,Sn,Lb1,60,0.540541
3904.9,50,Sn,"Lb2,15",16,0.144144
4131.1,50,Sn,Lg1,7,0.063063
3045,50,Sn,Ll,4,0.036036
14165,38,Sr,Ka1,100,0.662252
14097.9,38,Sr,Ka2,52,0.344371
15835.7,38,Sr,Kb1,14,0.092715
16084.6,38,Sr,Kb2,3,0.019868
15824.9,38,Sr,Kb3,7,0.046358
1806.6,38,Sr,La1,100,0.900901
